*WEATHER DATA: GGCMI

@ INSI      LAT     LONG  ELEV   TAV   AMP REFHT WNDHT
 GGCMI    -9.25    34.75   -99  22.2  13.8
@DATE  SRAD  TMIN  TMAX  RAIN
15267  21.5  12.6  26.4   1.7
15268  16.0  16.8  24.8   2.8
15269  21.1  16.1  26.5   0.3
15270  24.7  13.7  25.7   0.0
15271  25.8  12.1  26.4   0.3
15272  21.7  13.7  25.2   0.0
15273  24.2  11.3  26.3   0.0
15274  18.9  16.3  24.7   0.0
15275  17.0  15.1  26.3   6.9
15276  13.3  15.1  21.8  11.7
15277  19.4  15.4  24.8   0.1
15278  23.1  14.6  25.3   0.0
15279  20.7  17.0  25.1   0.0
15280  20.8  15.2  26.0   0.0
15281  29.3  12.8  26.7   0.0
15282  26.9  12.3  26.7   0.0
15283  26.6  13.4  27.0   0.0
15284  26.7  14.2  26.0   0.0
15285  24.3  13.8  26.4   0.0
15286  25.9  14.1  26.7   0.0
15287  24.5  13.6  27.2   0.0
15288  20.3  16.3  25.4   0.0
15289  19.3  17.0  25.1   0.0
15290  21.3  16.9  27.9   1.3
15291  22.5  17.8  27.0   0.0
15292  21.0  16.8  27.5   0.0
15293  21.3  16.5  27.5   0.2
15294  27.3  14.3  29.1   0.0
15295  29.2  13.1  30.3   0.0
15296  29.8  12.6  31.1   0.0
15297  26.7  14.8  29.8   0.0
15298  22.0  17.2  28.3   0.0
15299  20.4  15.8  26.0   9.5
15300  22.9  14.0  27.8   0.0
15301  27.1  14.9  28.7   0.0
15302  20.7  16.8  25.2   3.6
15303  21.3  14.9  26.5   0.0
15304  22.8  14.3  27.6   0.4
15305  22.4  14.9  29.5   0.0
15306  25.1  14.6  29.7   0.0
15307  27.0  14.6  29.3   0.0
15308  27.7  13.3  29.2   0.0
15309  25.3  13.4  28.1   0.0
15310  24.4  16.0  29.0   0.0
15311  29.2  13.1  30.2   0.0
15312  22.3  14.8  27.3   0.5
15313  20.0  16.0  27.4   0.0
15314  18.0  16.4  26.8   3.2
15315  22.8  16.2  28.4   0.0
15316  24.5  16.7  27.7   0.0
15317  27.5  14.5  28.3   0.0
15318  26.1  14.8  28.9   0.0
15319  29.7  13.4  30.0   0.0
15320  20.6  15.4  28.3   0.0
15321  23.9  16.2  28.2   0.0
